record_id|fiscal_year|period|category|line_item|funding_source|approved|actual_zmw|description|source_document|stakeholders
KIT2-CPS-2024-499|2024||Proposed|Construction of ablation block Mwabashi basic school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-500|2024||Proposed|Construction of a 1 block x 4 class rooms at Lwela primary school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-501|2024||Proposed|Construction of bridge on vanadium road (urgent)|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-502|2024||Proposed|Construction of foot bridge of Twatasha stream|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-503|2024||Proposed|Purchasing of 200 desks for Garneton sec. School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-504|2024||Proposed|Purchasing of 200 desks for Mwambashi basic school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-505|2024||Proposed|Purchasing of 200 desks for OVC primary school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-506|2024||Proposed|Purchasing of 200 desks for Kamilulu primary school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-507|2024||Proposed|Purchasing of 200 desks for Lwela primary school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-508|2024||Proposed|Purchasing of 200 desks for Bush Fire Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-509|2024||Proposed|Purchasing of 200 desks for Salamano primary school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-510|2024||Proposed|Construction 1*4 classroom block at bush fire primary school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-511|2024||Proposed|Construction of commercial boreholes at forest compound and azurite road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-512|2024||Proposed|Construction of a market shelter at KCC Kamatipa|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-513|2024||Proposed|Construction of a police post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
