record_id|fiscal_year|period|category|line_item|actual_zmw|description|source_document|source_table|source_page
KIT-EXP-2023-001|2023|FY2023|Personal Emoluments|Personal Emoluments|93858577.0|FY2023 personal emoluments|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 13|35.0
KIT-EXP-2023-002|2023|FY2023|Goods and Services|Use of Goods and Services|115598020.0|FY2023 goods and services|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 14|36.0
KIT-EXP-2023-003|2023|FY2023|Social Benefits|Social Benefits|11972228.0|FY2023 social benefits|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 16|36.0
KIT-REV-2025-Q2-001|2025|Q1-Q2|National Support|Local Government Equalisation Fund|46365890.38||Budget-Performance-Report-116-LAs.pdf|Table 13|25.0
KIT-REV-2025-Q2-002|2025|Q1-Q2|National Support|Grants In Lieu of Rates|842893.0||Budget-Performance-Report-116-LAs.pdf|Table 13|25.0
KIT-REV-2025-Q2-003|2025|Q1-Q2|National Support|Sector Grants|68024766.7||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-004|2025|Q1-Q2|National Support|ZDSP Capital Grants|0.0||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-005|2025|Q1-Q2|National Support|Constituency Development Fund|316107891.6||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-006|2025|Q1-Q2|National Support|Other Grants|77201337.0||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-007|2025|Q1-Q2|National Support|Sub-total|508542778.7||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-008|2025|Q1-Q2|Own Source Revenue|Local Taxes|276111868.1||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-009|2025|Q1-Q2|Own Source Revenue|Fee & Charges|92272566.78||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-010|2025|Q1-Q2|Own Source Revenue|Licences|4405511.29||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-011|2025|Q1-Q2|Own Source Revenue|Levies|15758193.88||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-012|2025|Q1-Q2|Own Source Revenue|Permits|18476132.39||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-013|2025|Q1-Q2|Own Source Revenue|Commercial ventures|96983.0||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-014|2025|Q1-Q2|Own Source Revenue|Others OSR|2590519.13||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-015|2025|Q1-Q2|Own Source Revenue|Sub-total|409711774.6||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-016|2025|Q1-Q2|Other Revenue|Bank interest received|88159.0||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-017|2025|Q1-Q2|Other Revenue|Borrowings - Loans|0.0||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-018|2025|Q1-Q2|Other Revenue|Borrowings - Overdraft|0.0||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-019|2025|Q1-Q2|Other Revenue|Others|6084239.35||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-020|2025|Q1-Q2|Other Revenue|Sub-total|6172398.35||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-021|2025|Q1-Q2|Total|Total|924426951.6||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-022|2025|Q1-Q2|Total|Carry over funds|202460220.0||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-REV-2025-Q2-023|2025|Q1-Q2|Total|Grand total (incl. carryover)|1126887172.0||Budget-Performance-Report-116-LAs.pdf|Table 13|26.0
KIT-EXP-2025-Q2-001|2025|Q1-Q2|Personal emoluments|Personal emoluments|271093002.4||Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-EXP-2025-Q2-002|2025|Q1-Q2|Use of goods and services|Use of goods and services|315526395.5||Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-EXP-2025-Q2-003|2025|Q1-Q2|Financial charges|Financial charges|0.0||Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-EXP-2025-Q2-004|2025|Q1-Q2|Social benefits|Social benefits|139424116.9||Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-EXP-2025-Q2-005|2025|Q1-Q2|Non-financial assets|Non-financial assets|180789852.3||Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-EXP-2025-Q2-006|2025|Q1-Q2|Financial assets|Financial assets|38076631.04||Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-EXP-2025-Q2-007|2025|Q1-Q2|Loan repayments|Loan repayments|0.0||Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-EXP-2025-Q2-008|2025|Q1-Q2|Other repayments|Other repayments|25965785.57||Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-EXP-2025-Q2-009|2025|Q1-Q2|Total payments|Total payments|970875783.6||Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-EXP-2025-Q2-010|2025|Q1-Q2|Net Budget Performance|Net Budget Performance|156011388.0|Net Budget Performance (as of 10/09/2026)|Budget-Performance-Report-116-LAs.pdf|Table 14|27.0
KIT-LOC-2023-001|2023|FY2023|Local Taxes|Residential Rates|7506104.0|From audited 2023 financial statements|Kitwe Financial Statements 2023|Note 2|24.0
KIT-LOC-2023-002|2023|FY2023|Local Taxes|Industrial/Commercial Rates|19032047.0|From audited 2023 financial statements|Kitwe Financial Statements 2023|Note 2|24.0
KIT-LOC-2023-003|2023|FY2023|Local Taxes|Mining Rates|76399799.0|From audited 2023 financial statements|Kitwe Financial Statements 2023|Note 2|24.0
KIT-LOC-2023-004|2023|FY2023|Local Taxes|Personal Levy|170279.0|From audited 2023 financial statements|Kitwe Financial Statements 2023|Note 2|24.0
KIT-LOC-2023-005|2023|FY2023|Local Taxes|TOTAL Local Taxes|103108229.0|From audited 2023 financial statements|Kitwe Financial Statements 2023|Note 2|24.0
KIT-LOC-2023-006|2023|FY2023|Fees and Charges|TOTAL Fees and Charges|30706709.0|From audited 2023 financial statements|Kitwe Financial Statements 2023|Note 3|24.0
